Faculty/School,Department,Course Code,Course Title,Course Class,UG,GD,DK,NG,CPE
"Coll. of Humanities &Sciences","Communications &New Media",HS2903,Sporting Bodies,L - L1 - 7789,0,x,x,x,x
"Coll. of Humanities &Sciences","English,Ling.&TheatreStudies",HS2912,"Polymaths: Innovating Between Art andScience",L - L1 - 13143,0,x,x,x,x
"College of Design andEng",Architecture,AC5001,Architectural History of Singapore,L - L1 - 3570,x,30,x,x,x
"College of Design andEng",Architecture,AC5002,"Conservation Approaches andPhilosophies",L - L1 - 3574,x,30,x,x,x
"College of Design andEng",Architecture,AC5006,"Disaster Risk Management of CulturalHeritage",L - L1 - 3577,x,30,x,x,x
"College of Design andEng",Architecture,AC5006,"Disaster Risk Management of CulturalHeritage",L - L2 - 3579,x,20,x,x,x
"College of Design andEng",Architecture,AC5007,Dissertation,L - L1 - 3583,x,30,x,x,x
"College of Design andEng",Architecture,AC5009,Design for Adaptive Reuse,L - L1 - 3588,x,30,x,x,x
"College of Design andEng",Architecture,AC5011,Conservation of C20th Buildings,L - L1 - 3590,x,30,x,x,2
"College of Design andEng",Architecture,AC5013,Practical Building Conservation Skills II,L - L1 - 3593,x,30,x,x,x
"College of Design andEng",Architecture,AC5014,Internship,L - L1 - 3596,x,20,x,x,x
Faculty/School,Department,Course Code,Course Title,Course Class,UG,GD,DK,NG,CPE
"College of Design andEng",Architecture,AR1101,Design I,D - D1 - 3600,150,x,x,x,x
"College of Design andEng",Architecture,AR2101,Design 3,D - D1 - 3691,162,x,x,0,x
"College of Design andEng",Architecture,AR2225,Reading Visual Images,L - L1 - 3785,12,x,x,3,x
"College of Design andEng",Architecture,AR2228,History & Theory of Architecture II,L - L1 - 3792,150,x,x,x,x
"College of Design andEng",Architecture,AR2328,"Architectural Tectonics and StructuralSystems",L - L1 - 3886,180,x,x,x,x
"College of Design andEng",Architecture,AR3101,Design 5,D - D1 - 3931,140,x,x,3,x
"College of Design andEng",Architecture,AR3223,Introduction to Urbanism,L - L1 - 4036,145,x,x,1,x
"College of Design andEng",Architecture,AR4955,Topics in Architectural Design,E - E1 - 4072,10,x,x,x,x
"College of Design andEng",Architecture,AR5011,Research Methodology,L - L1 - 4077,x,6,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L1 - 4079,x,150,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L10 - 4081,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L11 - 4084,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L12 - 4087,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L13 - 4093,x,5,x,x,x
College of Design and,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L14 - 4102,x,5,x,x,x
Faculty/School,Department,Course Code,Course Title,Course Class,UG,GD,DK,NG,CPE
Eng,,,,,,,,,
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L15 - 4109,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L16 - 4116,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L17 - 4121,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L18 - 4129,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L19 - 4138,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L2 - 4148,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L20 - 4157,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L3 - 4166,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L4 - 4177,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L5 - 4188,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L6 - 4197,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L7 - 4205,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L8 - 4216,x,5,x,x,x
"College of Design andEng",Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L - L9 - 4226,x,5,x,x,x
Faculty/School,Department,Course Code,Course Title,Course Class,UG,GD,DK,NG,CPE
"College of Design andEng",Architecture,AR5221,CONTEMPORARY THEORIES,L - L1 - 4229,134,1,x,x,x
"College of Design andEng",Architecture,AR5321,Advanced Architectural Integration,L - L1 - 4259,93,45,x,0,x
"College of Design andEng",Architecture,AR5323,Well & Green Built Environment,L - L1 - 13529,x,25,x,x,x
"College of Design andEng",Architecture,AR5423,Architectural Practice,L - L1 - 4295,103,45,x,x,x
"College of Design andEng",Architecture,AR5601,Urban Design Theory and Praxis,L - L1 - 4314,115,45,x,x,x
"College of Design andEng",Architecture,AR5666,Industrial Attachment,L - L1 - 14990,x,4,x,x,x
"College of Design andEng",Architecture,AR5770,GRADUATE SEMINAR,L - L1 - 4328,x,8,x,x,x
"College of Design andEng",Architecture,AR5801,Options Design Research Studio 1,D - D1 - 4329,90,45,x,7,x
"College of Design andEng",Architecture,AR5802,Options Design Research Studio 2,D - D1 - 4545,x,10,x,x,x
"College of Design andEng",Architecture,AR5803,Architectural & Technology Design 1,D - D1 - 4554,x,50,x,x,x
"College of Design andEng",Architecture,AR5805,Advanced Architecture Studio,L - L1 - 4627,x,160,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - D1 - 4881,x,150,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT10 - 4884,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT11 - 4886,x,5,x,x,x
College of Design and,Architecture,AR5806,Architectural Design Research Report,D - DT12 - 4889,x,5,x,x,x
Faculty/School,Department,Course Code,Course Title,Course Class,UG,GD,DK,NG,CPE
Eng,,,,,,,,,
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT13 - 4891,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT14 - 4894,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT15 - 4897,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT16 - 4899,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT17 - 4904,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT18 - 4908,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT19 - 4912,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT2 - 4916,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT20 - 4919,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT21 - 4923,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT22 - 4927,x,7,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT23 - 4932,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT24 - 4938,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT25 - 4945,x,5,x,x,x
Faculty/School,Department,Course Code,Course Title,Course Class,UG,GD,DK,NG,CPE
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT26 - 4950,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT27 - 4955,x,5,x,x,x
"College of Design andEng",Architecture,AR5806,Architectural Design Research Report,D - DT28 - 4962,x,5,x,x,x
